tenant_name,title,content,category,tags
"티아나성형외과","코성형 수술 비용 안내","","가격정보","코성형,비용,가격"
"티아나성형외과","융비술 (콧대 높이기) 수술","","코성형","융비술,콧대,수술"
"티아나성형외과","비첨성형 (코끝 성형) 효과","","코성형","비첨성형,코끝,수술"
"티아나성형외과","매부리코 교정 수술","","코성형","매부리코,교정,수술"
"티아나성형외과","휜코 교정 수술 방법","","코성형","휜코,교정,수술"
"티아나성형외과","코성형 수술 후 회복 기간","","회복정보","코성형,회복,기간"
"티아나성형외과","코성형 수술 후 부종 관리","","주의사항","코성형,부종,관리"
"티아나성형외과","실리콘 vs 자가연골 비교","","코성형","실리콘,자가연골,비교"
"티아나성형외과","재수술 코성형 비용","","가격정보","재수술,코성형,비용"
"티아나성형외과","쌍꺼풀 수술 비용","","가격정보","쌍꺼풀,눈성형,비용"
"티아나성형외과","매몰법 쌍꺼풀 수술","","눈성형","매몰법,쌍꺼풀,수술"
"티아나성형외과","절개법 쌍꺼풀 수술","","눈성형","절개법,쌍꺼풀,수술"
"티아나성형외과","쌍꺼풀 수술 후 실밥 제거","","회복정보","쌍꺼풀,실밥,회복"
"티아나성형외과","쌍꺼풀 재수술 가능 여부","","눈성형","쌍꺼풀,재수술,교정"
"티아나성형외과","앞트임 뒤트임 수술","","눈성형","트임,앞트임,뒤트임"
"티아나성형외과","눈밑 지방 재배치 수술","","눈성형","눈밑지방,재배치,애교살"
"티아나성형외과","상안검 하안검 수술","","눈성형","상안검,하안검,눈꺼풀"
"티아나성형외과","사각턱 수술 비용","","가격정보","사각턱,윤곽,비용"
"티아나성형외과","사각턱 절골술 방법","","윤곽수술","사각턱,절골술,수술"
"티아나성형외과","광대 축소 수술","","윤곽수술","광대,축소,수술"
"티아나성형외과","턱끝 성형 수술","","윤곽수술","턱끝,성형,V라인"
"티아나성형외과","안면윤곽 3종 패키지","","가격정보","안면윤곽,3종,패키지"
"티아나성형외과","윤곽 수술 후 입원 기간","","회복정보","윤곽,입원,회복"
"티아나성형외과","윤곽 수술 후 식사 방법","","주의사항","윤곽,식사,회복"
"티아나성형외과","3D CT 분석 비용","","검사정보","3DCT,분석,검사"
"티아나성형외과","가슴성형 수술 비용","","가격정보","가슴성형,비용,가격"
"티아나성형외과","코히시브젤 보형물 종류","","가슴성형","코히시브젤,보형물,종류"
"티아나성형외과","물방울형 vs 라운드형 보형물","","가슴성형","물방울형,라운드형,비교"
"티아나성형외과","가슴성형 절개 위치 선택","","가슴성형","절개,위치,겨드랑이"
"티아나성형외과","가슴성형 보형물 교체 시기","","가슴성형","보형물,교체,유지"
"티아나성형외과","가슴성형 평생 A/S 안내","","가격정보","가슴성형,평생AS,보증"
"티아나성형외과","지방흡입 수술 부위별 비용","","가격정보","지방흡입,비용,부위"
"티아나성형외과","복부 지방흡입 효과","","지방흡입","복부,지방흡입,효과"
"티아나성형외과","허벅지 지방흡입 관리","","지방흡입","허벅지,지방흡입,관리"
"티아나성형외과","팔뚝 지방흡입 회복","","지방흡입","팔뚝,지방흡입,회복"
"티아나성형외과","지방흡입 압박복 착용 기간","","주의사항","지방흡입,압박복,기간"
"티아나성형외과","지방 이식 수술 방법","","지방이식","지방이식,수술,방법"
"티아나성형외과","얼굴 지방 이식 효과","","지방이식","얼굴,지방이식,효과"
"티아나성형외과","리프팅 수술 종류","","리프팅","리프팅,실리프팅,수술"
"티아나성형외과","실리프팅 비용 및 효과","","리프팅","실리프팅,비용,효과"
"티아나성형외과","안티에이징 시술 패키지","","안티에이징","안티에이징,시술,패키지"
"티아나성형외과","상담 예약 및 변경 방법","","예약","예약,상담,변경"
"티아나성형외과","수술 예약 취소 및 환불","","예약","예약취소,환불,규정"
"티아나성형외과","당일 상담 가능 여부","","예약","당일,상담,가능"
"티아나성형외과","해외환자 통역 서비스 (중국어/일본어/영어)","","통역","통역,중국어,일본어,영어"
"티아나성형외과","통역 직원 상주 시간","","통역","통역,직원,시간"
"티아나성형외과","세금환급 (택스리펀) 안내","","세금환급","세금환급,택스리펀"
"티아나성형외과","신용카드 무이자 할부 안내","","결제","신용카드,무이자,할부"
"티아나성형외과","현금 결제 할인 혜택","","결제","현금,할인,혜택"
"티아나성형외과","해외 카드 결제 가능 여부","","결제","해외카드,결제"
"티아나성형외과","수술 비용 분할 납부","","결제","분할납부,할부"
"티아나성형외과","수술 부작용 걱정 및 대처","","고민","부작용,걱정,대처"
"티아나성형외과","수술 실패 시 재수술 정책","","고민","실패,재수술,보증"
"티아나성형외과","흉터 남는지 걱정","","고민","흉터,걱정,최소화"
"티아나성형외과","자연스러운 결과 가능 여부","","고민","자연스러움,결과"
"티아나성형외과","병원 위치 및 오시는 길","","안내","위치,오시는길,교통"
"티아나성형외과","주차장 이용 안내","","안내","주차,주차장"
"티아나성형외과","진료 시간 및 휴무일","","안내","진료시간,휴무"
